n2col,n4col,n3col,corrAns,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,20.451020956,,,,,,,,,,,,2017_May_09_1553,60.0034906511,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.887428998947,,,,,,,,,,2017_May_09_1553,60.0034906511,connectNodes,001,,
blue,red,green,a,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.100111961364746, 1.354362964630127, 1.653784990310669, 1.9204421043395996]",1,0,0,0,,,,2017_May_09_1553,60.0034906511,connectNodes,001,,
yellow,green,blue,b,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.33734798431396484, 0.5701930522918701, 0.8205118179321289, 1.1339240074157715]",1,0,0,0,,,,2017_May_09_1553,60.0034906511,connectNodes,001,,
red,blue,yellow,c,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.22114801406860352, 0.4875938892364502, 0.7671399116516113, 1.0872020721435547]",1,0,0,0,,,,2017_May_09_1553,60.0034906511,connectNodes,001,,
yellow,yellow,green,d,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.25374698638916016, 0.5537660121917725, 1.3204760551452637, 11.223237991333008]",1,0,0,0,,,,2017_May_09_1553,60.0034906511,connectNodes,001,,
yellow,yellow,green,y,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,0,0,0,0,,,,,,,,,,,['y'],0,[17.922234058380127],2017_May_09_1553,60.0034906511,connectNodes,001,,
yellow,yellow,green,n,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,0,1,1,1,,,,,,,,,,,['y'],0,[6.734807968139648],2017_May_09_1553,60.0034906511,connectNodes,001,,
yellow,yellow,green,y,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,1,0,2,0,,,,,,,,,,,['y'],0,[5.604783058166504],2017_May_09_1553,60.0034906511,connectNodes,001,,
yellow,yellow,green,n,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,1,1,3,1,,,,,,,,,,,['n'],0,[2.0716590881347656],2017_May_09_1553,60.0034906511,connectNodes,001,,
yellow,yellow,green,y,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,2,0,4,0,,,,,,,,,,,['n'],0,[1.1380438804626465],2017_May_09_1553,60.0034906511,connectNodes,001,,
yellow,yellow,green,n,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,2,1,5,1,,,,,,,,,,,['n'],0,[1.1377089023590088],2017_May_09_1553,60.0034906511,connectNodes,001,,
