n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,13.1299548149,,,,,,,,,,,,2017_May_09_1741,59.9390934905,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.121167182922,,,,,,,,,,2017_May_09_1741,59.9390934905,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[0.9844539165496826, 1.1709070205688477, 1.3375978469848633, 1.5207788944244385]",1,0,0,0,,,,2017_May_09_1741,59.9390934905,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.16720008850097656, 0.3538539409637451, 0.5377190113067627, 0.7673020362854004]",1,0,0,0,,,,2017_May_09_1741,59.9390934905,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.18357515335083008, 0.4040651321411133, 0.6707520484924316, 0.9353241920471191]",1,0,0,0,,,,2017_May_09_1741,59.9390934905,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2511570453643799, 0.5177788734436035, 0.8214519023895264, 1.1042940616607666]",1,0,0,0,,,,2017_May_09_1741,59.9390934905,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,0,0,0,0,,,,,,,,,,,y,1,9.40166306496,2017_May_09_1741,59.9390934905,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,0,1,1,1,,,,,,,,,,,y,0,1.98741412163,2017_May_09_1741,59.9390934905,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,1,0,2,1,,,,,,,,,,,n,1,0.96731710434,2017_May_09_1741,59.9390934905,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,1,1,3,0,,,,,,,,,,,n,0,17.4558241367,2017_May_09_1741,59.9390934905,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,2,0,4,1,,,,,,,,,,,n,1,0.855731010437,2017_May_09_1741,59.9390934905,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,2,1,5,0,,,,,,,,,,,n,0,0.971112966537,2017_May_09_1741,59.9390934905,connectNodes,001,,
