n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp3.keys,resp3.corr,resp3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,5.193171978,,,,,,,,,,,,2017_May_09_1836,59.9617153469,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.303794145584,,,,,,,,,,2017_May_09_1836,59.9617153469,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.2201159000396729, 1.467444896697998, 1.6866707801818848, 1.9676308631896973]",1,0,0,0,,,,2017_May_09_1836,59.9617153469,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.27019286155700684, 0.4674839973449707, 0.7204358577728271, 1.0038528442382812]",1,0,0,0,,,,2017_May_09_1836,59.9617153469,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.23418283462524414, 0.4539148807525635, 0.7671358585357666, 1.0539648532867432]",1,0,0,0,,,,2017_May_09_1836,59.9617153469,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.25323486328125, 0.470369815826416, 1.085972785949707, 1.4530808925628662]",1,0,0,0,,,,2017_May_09_1836,59.9617153469,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,0,0,0,1,,,,,,,,,,,y,0,2.52055001259,2017_May_09_1836,59.9617153469,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,0,1,1,0,,,,,,,,,,,n,0,2.25354290009,2017_May_09_1836,59.9617153469,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,1,0,2,0,,,,,,,,,,,n,0,10.405629158,2017_May_09_1836,59.9617153469,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,1,1,3,1,,,,,,,,,,,n,1,3.87110710144,2017_May_09_1836,59.9617153469,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,2,0,4,0,,,,,,,,,,,n,0,1.06702399254,2017_May_09_1836,59.9617153469,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,2,1,5,1,,,,,,,,,,,n,1,0.337405920029,2017_May_09_1836,59.9617153469,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,3,0,6,0,,,,,,,,,,,n,0,0.204079151154,2017_May_09_1836,59.9617153469,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,3,1,7,1,,,,,,,,,,,n,1,0.187023162842,2017_May_09_1836,59.9617153469,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,4,0,8,1,,,,,,,,,,,n,1,0.170193910599,2017_May_09_1836,59.9617153469,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,4,1,9,0,,,,,,,,,,,n,0,0.183408021927,2017_May_09_1836,59.9617153469,connectNodes,001,,
